<CdSiteHydro>,<LbSiteHydro>,<Annee>,<TypeCampObservations>,<DtRealObservation>,<LbRsObservationDpt>,<RsObservationDpt>,<LbRsObservationNat>,<RsObservationNat>,<NomEntiteHydrographique>,<CdTronconHydrographique>,<LbCommune>,<CdCommune>,<CdDepartement>,<LbRegion>,<NomCircAdminBassin>,<CoordXSiteHydro>,<CoordYSiteHydro>,<ProjCoordSiteHydro>,FLG
E1840002,La Calonne à Flines-les-Mortagne,2014,usuelle,2014-06-25,Ecoulement visible acceptable,1a,Ecoulement visible,1,la Calonne,E1840730,FLINES-LES-MORTAGNE,59238,59,NORD-PAS-DE-CALAIS,ARTOIS-PICARDIE,734611.520980769,7044709.7934439,26,FLG
E2366610,Le Courant de la fontaine d'hertain à Hasnon,2014,usuelle,2014-06-25,Ecoulement visible acceptable,1a,Ecoulement visible,1,le Courant des Fontaines d'Hertain,E2360660,HASNON,59284,59,NORD-PAS-DE-CALAIS,ARTOIS-PICARDIE,728734.61418706,7034630.50839455,26,FLG
E2377211,Le courant de l'hôpital à Orchies,2014,usuelle,2014-06-25,Ecoulement visible acceptable,1a,Ecoulement visible,1,le Courant de l'Hopital,E2370600,ORCHIES,59449,59,NORD-PAS-DE-CALAIS,ARTOIS-PICARDIE,716871.246765121,7043070.26853107,26,FLG
E2330001,Le Courant du pont de beuvry à Mons-en-Pevele,2014,usuelle,2014-06-25,Ecoulement visible acceptable,1a,Ecoulement visible,1,le Courant de Coutiches Amont,E2330700,MONS-EN-PEVELE,59411,59,NORD-PAS-DE-CALAIS,ARTOIS-PICARDIE,708478.5,7040949.5,26,FLG
E3346021,Le Zécart à Genech,2014,usuelle,2014-06-25,Ecoulement visible acceptable,1a,Ecoulement visible,1,le Zecart,E3340620,TEMPLEUVE,59586,59,NORD-PAS-DE-CALAIS,ARTOIS-PICARDIE,714251,7048659.5,26,FLG
E4909410,L'Ey becque à Houtkerque,2014,usuelle,2014-06-25,Ecoulement visible acceptable,1a,Ecoulement visible,1,l'Ey Becque,E4900940,HOUTKERQUE,59318,59,NORD-PAS-DE-CALAIS,ARTOIS-PICARDIE,672229.9,7086606.5,26,FLG
Y4022013,Le Bayeux avant sa confluence avec l'Arc,2014,usuelle,2014-06-24,Ecoulement visible acceptable,1a,Ecoulement visible,1,Le Bayeux,Y4020540,LE THOLONET,13109,13,PROVENCE-ALPES-COTE-D'AZUR,RHONE-MEDITERRANEE-CORSE,904830.313019472,6270691.31302313,26,FLG
V7216512,Le Gaudre d'Auge à Fontvieille,2014,usuelle,2014-06-24,Ecoulement visible acceptable,1a,Ecoulement visible,1,Gaudre d'Auge,V7211480,FONTVIEILLE,13038,13,PROVENCE-ALPES-COTE-D'AZUR,RHONE-MEDITERRANEE-CORSE,838047.737661978,6293821.42180158,26,FLG
Y4306513,Le Gaudre du Trible en aval de Maussane-les-Alpilles,2014,usuelle,2014-06-24,Ecoulement visible acceptable,1a,Ecoulement visible,1,Gaudre du Trible,Y4301240,MAUSSANE-LES-ALPILLES,13058,13,PROVENCE-ALPES-COTE-D'AZUR,RHONE-MEDITERRANEE-CORSE,845121.407769068,6292224.66409386,26,FLG
Y4306512,Le Gaudre de la Foux en aval de Maussane-les-Alpilles,2014,usuelle,2014-06-24,Ecoulement visible acceptable,1a,Ecoulement visible,1,Gaudre de la Foux,Y4301220,MAUSSANE-LES-ALPILLES,13058,13,PROVENCE-ALPES-COTE-D'AZUR,RHONE-MEDITERRANEE-CORSE,845577,6292022.5,26,FLG
Y4214041,Le Ruisseau de Concernade en aval de Lambesc,2014,usuelle,2014-06-24,Ecoulement visible acceptable,1a,Ecoulement visible,1,Ruisseau de Concernade,"",LAMBESC,13050,13,PROVENCE-ALPES-COTE-D'AZUR,RHONE-MEDITERRANEE-CORSE,881478.2,6286149.5,26,FLG
Y4200002,Le Budéou à Saint-Cannat,2014,usuelle,2014-06-24,Ecoulement visible acceptable,1a,Ecoulement visible,1,Ruisseau de Budéou,Y4200520,SAINT-CANNAT,13091,13,PROVENCE-ALPES-COTE-D'AZUR,RHONE-MEDITERRANEE-CORSE,884822.406339333,6282874.26516106,26,FLG
Y4200003,La Touloubre à Saint-Cannat,2014,usuelle,2014-06-24,Ecoulement visible acceptable,1a,Ecoulement visible,1,La Touloubre,Y42-0400,SAINT-CANNAT,13091,13,PROVENCE-ALPES-COTE-D'AZUR,RHONE-MEDITERRANEE-CORSE,885371.524220391,6280604.60664081,26,FLG
